episode #,score,progress reward,lane deviation penalty,gforce penalty,time penalty,got stuck,start,end,lap time
1,0,0,0,0,0.5721354484558105,True,2018-05-30T14:40:19.649935-07:00,2018-05-30T14:40:20.222166-07:00,0.5722310543060303
2,0,0,0,0,0.05780839920043945,True,2018-05-30T14:40:20.273276-07:00,2018-05-30T14:40:20.331182-07:00,0.05790567398071289
3,0,0,0,0,0.016472339630126953,True,2018-05-30T14:40:20.486497-07:00,2018-05-30T14:40:20.503057-07:00,0.016559839248657227
4,0,0,0,0,0.016211509704589844,True,2018-05-30T14:40:20.553056-07:00,2018-05-30T14:40:20.569355-07:00,0.01629924774169922
5,0,0,0,0,0.0164334774017334,True,2018-05-30T14:40:20.691174-07:00,2018-05-30T14:40:20.707701-07:00,0.016526460647583008
6,0,0,0,0,0.021075725555419922,True,2018-05-30T14:40:20.762772-07:00,2018-05-30T14:40:20.784008-07:00,0.021236419677734375
7,0,0,0,0,0.01627635955810547,True,2018-05-30T14:40:20.917084-07:00,2018-05-30T14:40:20.933453-07:00,0.016369342803955078
8,0,0,0,0,0.0164644718170166,True,2018-05-30T14:40:20.984010-07:00,2018-05-30T14:40:21.000599-07:00,0.01658916473388672
9,0,0,0,0,0.01808643341064453,True,2018-05-30T14:40:21.119420-07:00,2018-05-30T14:40:21.137632-07:00,0.01821160316467285
10,0,0,0,0,0.015920162200927734,True,2018-05-30T14:40:21.190239-07:00,2018-05-30T14:40:21.206245-07:00,0.016005992889404297
11,0,0,0,0,0.017485857009887695,True,2018-05-30T14:40:21.327032-07:00,2018-05-30T14:40:21.344614-07:00,0.017581939697265625
12,0,0,0,0,0.016626834869384766,True,2018-05-30T14:40:21.396358-07:00,2018-05-30T14:40:21.413075-07:00,0.016717195510864258
13,0,0,0,0,0.01611638069152832,True,2018-05-30T14:40:21.536454-07:00,2018-05-30T14:40:21.552660-07:00,0.016206026077270508
14,0,0,0,0,0.016263246536254883,True,2018-05-30T14:40:21.604160-07:00,2018-05-30T14:40:21.620512-07:00,0.016352176666259766
15,0,0,0,0,0.01676487922668457,True,2018-05-30T14:40:21.743170-07:00,2018-05-30T14:40:21.760026-07:00,0.01685643196105957
16,0,0,0,0,0.018413066864013672,True,2018-05-30T14:40:21.813792-07:00,2018-05-30T14:40:21.832293-07:00,0.018500804901123047
17,0,0,0,0,0.016146421432495117,True,2018-05-30T14:40:21.959434-07:00,2018-05-30T14:40:21.975667-07:00,0.016233444213867188
18,0,0,0,0,0.016275405883789062,True,2018-05-30T14:40:22.028560-07:00,2018-05-30T14:40:22.044923-07:00,0.01636219024658203
19,0,0,0,0,0.016244888305664062,True,2018-05-30T14:40:22.168685-07:00,2018-05-30T14:40:22.185029-07:00,0.01634359359741211
20,0,0,0,0,0.0161285400390625,True,2018-05-30T14:40:22.239892-07:00,2018-05-30T14:40:22.256112-07:00,0.016219139099121094
21,0,0,0,0,0.01961231231689453,True,2018-05-30T14:40:22.380128-07:00,2018-05-30T14:40:22.399903-07:00,0.019775390625
22,0,0,0,0,0.01670980453491211,True,2018-05-30T14:40:22.470389-07:00,2018-05-30T14:40:22.487188-07:00,0.016798973083496094

median score,0.0
avg score,0.0
std,0.0
high score,0
low score,0
experiment,
env,DeepDrive-v0
command,"['/home/a/src/deepdrive/main.py', '--baseline']"
commit,b54e99f
diff file,/home/a/DeepDrive/benchmark/2018-05-30__02-40-01PM.diff
