episode #,score,progress reward,lane deviation penalty,gforce penalty,time penalty,got stuck,start,end,lap time
1,723.6583961082387,2735.7000000000057,752.1851667144382,132.6165553777738,247.37264776229858,False,2018-05-31T16:32:45.389420-07:00,2018-05-31T16:36:58.136980-07:00,252.74756026268005
2,1049.8417475661508,2736.2000000000135,500.98977706812065,130.55451789915577,250.69435811042786,False,2018-05-31T16:36:58.182710-07:00,2018-05-31T16:41:16.126176-07:00,257.9434657096863
3,841.2176053473346,2736.3000000000184,603.3409274595165,123.0826646901597,265.83853697776794,False,2018-05-31T16:41:16.169195-07:00,2018-05-31T16:45:49.948650-07:00,273.7794542312622
4,677.8642970847318,2736.400000000025,717.8040729998628,131.27862887331148,269.795832157135,False,2018-05-31T16:45:50.002421-07:00,2018-05-31T16:50:28.728747-07:00,278.72632598876953
5,683.301430049861,2736.0000000000136,712.550893004576,153.33701557846177,260.8382775783539,False,2018-05-31T16:50:28.778749-07:00,2018-05-31T16:54:56.324496-07:00,267.5457468032837

median score,723.6583961082387
avg score,795.1766952312634
std,140.26203699704138
high score,1049.8417475661508
low score,677.8642970847318
env,DeepDrive-v0
args,"['--net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466', '--net-type=MobileNetV2']"
git commit,1927e94
experiment name,n/a
os,linux
gpus,GeForce GTX 980
