episode #,score,progress,rate of progress reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,3281.72303361686,0.0,1588.9692480518859,665.7180908142346,121.3088902509668,False,2018-05-31T16:57:59.356441-07:00,2018-05-31T17:02:24.385392-07:00,265.0289511680603
2,3383.480481633244,0.0,1639.6589066844545,623.1399274014128,116.34591442263832,False,2018-05-31T17:02:24.539721-07:00,2018-05-31T17:06:44.511757-07:00,259.9720356464386
3,3456.2686533732194,0.0,1639.9715721155196,535.0484752472909,131.34273990842848,False,2018-05-31T17:06:44.555905-07:00,2018-05-31T17:11:04.631598-07:00,260.0756928920746
4,3271.0501555735764,0.0,1647.3400549840867,741.6023771882234,118.01230135131584,False,2018-05-31T17:11:04.797045-07:00,2018-05-31T17:15:23.797733-07:00,259.0006880760193
5,3408.073421004839,0.0,1672.1147352145426,604.03428008982,144.09826918534833,False,2018-05-31T17:15:23.965327-07:00,2018-05-31T17:19:41.956513-07:00,257.99118661880493
6,3309.641090270164,0.0,1618.6857834989246,654.5592197763891,137.53575020865662,False,2018-05-31T17:19:42.002794-07:00,2018-05-31T17:24:01.760247-07:00,259.75745272636414
7,3337.184643684012,0.0,1656.5454725235759,679.469595186193,123.82319876605835,False,2018-05-31T17:24:01.808202-07:00,2018-05-31T17:28:20.267828-07:00,258.45962619781494
8,3277.4644902059254,0.0,1608.468332181236,672.045646722767,140.19639100563552,False,2018-05-31T17:28:20.408493-07:00,2018-05-31T17:32:41.992518-07:00,261.5840256214142

median score,3323.412866977088
avg score,3340.61074617023
std,64.2558597270824
high score,3456.2686533732194
low score,3271.0501555735764
env,DeepDrive-v0
args,"['--net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466', '--net-type=MobileNetV2']"
git commit,@1927e94
experiment name,n/a
os,linux
gpus,GeForce GTX 980
