episode #,score,rate of progress reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,0,0,0,0,True,2018-05-31T18:32:06.014802-07:00,2018-05-31T18:32:06.582964-07:00,0.568162202835083
2,0,0,0,0,True,2018-05-31T18:32:06.627108-07:00,2018-05-31T18:32:06.680519-07:00,0.05341148376464844
3,0,0,0,0,True,2018-05-31T18:32:06.825621-07:00,2018-05-31T18:32:06.841951-07:00,0.016330718994140625
4,0,0,0,0,True,2018-05-31T18:32:06.884739-07:00,2018-05-31T18:32:06.901236-07:00,0.016497135162353516
5,0,0,0,0,True,2018-05-31T18:32:07.003161-07:00,2018-05-31T18:32:07.020431-07:00,0.017269372940063477
6,0,0,0,0,True,2018-05-31T18:32:07.184441-07:00,2018-05-31T18:32:07.201524-07:00,0.017082929611206055
7,0,0,0,0,True,2018-05-31T18:32:07.244896-07:00,2018-05-31T18:32:07.260899-07:00,0.016002655029296875
8,0,0,0,0,True,2018-05-31T18:32:07.377203-07:00,2018-05-31T18:32:07.398572-07:00,0.021369218826293945
9,0,0,0,0,True,2018-05-31T18:32:07.447325-07:00,2018-05-31T18:32:07.463839-07:00,0.01651310920715332
10,0,0,0,0,True,2018-05-31T18:32:07.569114-07:00,2018-05-31T18:32:07.585738-07:00,0.01662421226501465
11,0,0,0,0,True,2018-05-31T18:32:07.753962-07:00,2018-05-31T18:32:07.772254-07:00,0.018291950225830078
12,0,0,0,0,True,2018-05-31T18:32:07.818301-07:00,2018-05-31T18:32:07.834889-07:00,0.01658797264099121
13,0,0,0,0,True,2018-05-31T18:32:07.940715-07:00,2018-05-31T18:32:07.956906-07:00,0.01619100570678711
14,0,0,0,0,True,2018-05-31T18:32:08.004755-07:00,2018-05-31T18:32:08.021431-07:00,0.016675472259521484
15,0,0,0,0,True,2018-05-31T18:32:08.128552-07:00,2018-05-31T18:32:08.144989-07:00,0.016437292098999023
16,0,0,0,0,True,2018-05-31T18:32:08.194429-07:00,2018-05-31T18:32:08.213262-07:00,0.018832921981811523
17,0,0,0,0,True,2018-05-31T18:32:08.326524-07:00,2018-05-31T18:32:08.343186-07:00,0.016661405563354492
18,0,0,0,0,True,2018-05-31T18:32:08.390494-07:00,2018-05-31T18:32:08.408643-07:00,0.01814889907836914
19,0,0,0,0,True,2018-05-31T18:32:08.525654-07:00,2018-05-31T18:32:08.543262-07:00,0.0176084041595459
20,0,0,0,0,True,2018-05-31T18:32:08.589595-07:00,2018-05-31T18:32:08.605794-07:00,0.016199111938476562
21,0,0,0,0,True,2018-05-31T18:32:08.726510-07:00,2018-05-31T18:32:08.742721-07:00,0.016210317611694336
22,0,0,0,0,True,2018-05-31T18:32:08.792114-07:00,2018-05-31T18:32:08.810387-07:00,0.01827239990234375
23,0,0,0,0,True,2018-05-31T18:32:08.929220-07:00,2018-05-31T18:32:08.949619-07:00,0.02039813995361328
24,0,0,0,0,True,2018-05-31T18:32:09.007292-07:00,2018-05-31T18:32:09.023934-07:00,0.016642093658447266
25,0,0,0,0,True,2018-05-31T18:32:09.140394-07:00,2018-05-31T18:32:09.156508-07:00,0.016113996505737305
26,0,0,0,0,True,2018-05-31T18:32:09.207199-07:00,2018-05-31T18:32:09.223497-07:00,0.01629805564880371
27,0,0,0,0,True,2018-05-31T18:32:09.354232-07:00,2018-05-31T18:32:09.370611-07:00,0.01637864112854004
28,0,0,0,0,True,2018-05-31T18:32:09.420280-07:00,2018-05-31T18:32:09.437550-07:00,0.017270326614379883
29,0,0,0,0,True,2018-05-31T18:32:09.556432-07:00,2018-05-31T18:32:09.572970-07:00,0.016538381576538086
30,0,0,0,0,True,2018-05-31T18:32:09.624647-07:00,2018-05-31T18:32:09.641775-07:00,0.01712799072265625
31,0,0,0,0,True,2018-05-31T18:32:09.763013-07:00,2018-05-31T18:32:09.779712-07:00,0.01669907569885254
32,0,0,0,0,True,2018-05-31T18:32:09.830196-07:00,2018-05-31T18:32:09.847147-07:00,0.016951322555541992
33,0,0,0,0,True,2018-05-31T18:32:09.973866-07:00,2018-05-31T18:32:09.989934-07:00,0.016068220138549805
34,0,0,0,0,True,2018-05-31T18:32:10.048096-07:00,2018-05-31T18:32:10.069556-07:00,0.02146005630493164
35,0,0,0,0,True,2018-05-31T18:32:10.211888-07:00,2018-05-31T18:32:10.228674-07:00,0.016785621643066406
36,0,0,0,0,True,2018-05-31T18:32:10.285496-07:00,2018-05-31T18:32:10.302255-07:00,0.01675891876220703
37,0,0,0,0,True,2018-05-31T18:32:10.428079-07:00,2018-05-31T18:32:10.444178-07:00,0.0160982608795166
38,0,0,0,0,True,2018-05-31T18:32:10.496577-07:00,2018-05-31T18:32:10.512618-07:00,0.016040563583374023
39,0,0,0,0,True,2018-05-31T18:32:10.638333-07:00,2018-05-31T18:32:10.654379-07:00,0.016045808792114258

median score,0.0
avg score,0.0
std,0.0
high score,0
low score,0
env,DeepDrive-v0
args,['--baseline']
git commit,@1927e94
experiment name,n/a
os,linux
gpus,GeForce GTX 980
