episode #,score,progress reward,lane deviation penalty,gforce penalty,time penalty,got stuck,start,end,lap time
1,0,0,0,0,0.43857574462890625,True,2018-05-31T00:07:12.206861-07:00,2018-05-31T00:07:12.645653-07:00,0.43879222869873047
2,0,0,0,0,0.05576467514038086,True,2018-05-31T00:07:12.760655-07:00,2018-05-31T00:07:12.816653-07:00,0.05599713325500488
3,0,0,0,0,0.01580953598022461,True,2018-05-31T00:07:12.951994-07:00,2018-05-31T00:07:12.968025-07:00,0.01603078842163086
4,0,0,0,0,0.016326904296875,True,2018-05-31T00:07:13.082933-07:00,2018-05-31T00:07:13.099475-07:00,0.01654219627380371
5,0,0,0,0,0.022693157196044922,True,2018-05-31T00:07:13.243999-07:00,2018-05-31T00:07:13.266982-07:00,0.02298283576965332
6,0,0,0,0,0.016209125518798828,True,2018-05-31T00:07:13.426491-07:00,2018-05-31T00:07:13.442925-07:00,0.016434192657470703
7,0,0,0,0,0.015918970108032227,True,2018-05-31T00:07:13.577480-07:00,2018-05-31T00:07:13.593616-07:00,0.016135454177856445
8,0,0,0,0,0.01621413230895996,True,2018-05-31T00:07:13.728596-07:00,2018-05-31T00:07:13.745043-07:00,0.01644611358642578
9,0,0,0,0,0.015756607055664062,True,2018-05-31T00:07:13.869582-07:00,2018-05-31T00:07:13.885567-07:00,0.015984773635864258
10,0,0,0,0,0.016118526458740234,True,2018-05-31T00:07:14.010568-07:00,2018-05-31T00:07:14.026905-07:00,0.01633739471435547
11,0,0,0,0,0.02063131332397461,True,2018-05-31T00:07:14.131444-07:00,2018-05-31T00:07:14.152385-07:00,0.020940542221069336
12,0,0,0,0,0.015770912170410156,True,2018-05-31T00:07:14.383100-07:00,2018-05-31T00:07:14.399105-07:00,0.01600480079650879
13,0,0,0,0,0.015832185745239258,True,2018-05-31T00:07:14.534132-07:00,2018-05-31T00:07:14.550181-07:00,0.01604914665222168
14,0,0,0,0,0.01591324806213379,True,2018-05-31T00:07:14.655009-07:00,2018-05-31T00:07:14.671135-07:00,0.016126155853271484
15,0,0,0,0,0.015865802764892578,True,2018-05-31T00:07:14.916675-07:00,2018-05-31T00:07:14.932778-07:00,0.016103267669677734
16,0,0,0,0,0.016420364379882812,True,2018-05-31T00:07:15.057696-07:00,2018-05-31T00:07:15.074340-07:00,0.016644716262817383
17,0,0,0,0,0.015935659408569336,True,2018-05-31T00:07:15.218778-07:00,2018-05-31T00:07:15.234948-07:00,0.01616978645324707
18,0,0,0,0,0.015883445739746094,True,2018-05-31T00:07:15.369729-07:00,2018-05-31T00:07:15.385826-07:00,0.016097068786621094
19,0,0,0,0,0.020824193954467773,True,2018-05-31T00:07:15.520736-07:00,2018-05-31T00:07:15.541875-07:00,0.021138668060302734
20,0,0,0,0,0.016231298446655273,True,2018-05-31T00:07:15.661726-07:00,2018-05-31T00:07:15.678169-07:00,0.016442298889160156
21,0,0,0,0,0.015915632247924805,True,2018-05-31T00:07:15.802646-07:00,2018-05-31T00:07:15.818780-07:00,0.01613330841064453
22,0,0,0,0,0.01698446273803711,True,2018-05-31T00:07:15.933584-07:00,2018-05-31T00:07:15.950808-07:00,0.017223834991455078

median score,0.0
avg score,0.0
std,0.0
high score,0
low score,0
env,DeepDrive-v0
command,"['/home/a/src/deepdrive/main.py', '--baseline']"
commit,64997ff
diff file,/home/a/DeepDrive/benchmark/2018-05-31__12-07-01AM.diff
experiment name,n/a
os,linux
gpus,n/a
