episode #,score,progress reward,lane deviation penalty,gforce penalty,time penalty,got stuck,start,end,lap time
1,-14053.532537871339,1131.4999999999998,14535.15531971791,545.1865998768359,104.69061827659607,True,2018-05-31T12:10:48.785426-07:00,2018-05-31T12:12:37.679572-07:00,108.89414572715759
2,1118.67535989216,2735.6000000000304,684.2304092213038,710.3029344998118,222.39129638671875,False,2018-05-31T12:12:37.727108-07:00,2018-05-31T12:16:26.477351-07:00,228.75024318695068
3,1073.099651919222,2735.800000000033,720.304396368501,722.2329337240674,220.16301798820496,False,2018-05-31T12:16:26.519251-07:00,2018-05-31T12:20:13.706606-07:00,227.18735551834106

median score,1073.099651919222
avg score,-3953.919175353319
std,7141.529333905715
high score,1118.67535989216
low score,-14053.532537871339
env,DeepDrive-v0
args,['--baseline']
git commit,1927e94
experiment name,n/a
os,linux
gpus,GeForce GTX 980
