episode #,score,rate of progress reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-4756.06247360078,-17.30446928020319,4589.93021548405,148.8277888365256,True,2018-06-01T11:09:38.343335-07:00,2018-06-01T11:10:19.228344-07:00,40.88500952720642

median score,-4756.06247360078
avg score,-4756.06247360078
std,0.0
high score,-4756.06247360078
low score,-4756.06247360078
env,Deepdrive-v0
args,"--baseline, --urgency=late"
git commit,@e266c92
experiment name,n/a
os,linux
gpus,GeForce GTX 980
