episode #,score,rate of progress reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-749.8417696938398,817.939588507423,1163.2903912261486,404.49096697511465,False,2018-06-01T11:18:59.901195-07:00,2018-06-01T11:23:11.593025-07:00,251.6918294429779
2,-455.2414948359378,858.2040887657355,948.0951149849254,365.350468616749,False,2018-06-01T11:23:11.653947-07:00,2018-06-01T11:27:22.794738-07:00,251.1407904624939
3,-313.62307369967664,848.1545388669177,841.026905710621,320.75070685597376,False,2018-06-01T11:27:22.849205-07:00,2018-06-01T11:31:33.751482-07:00,250.90227675437927
4,-381.5835058506033,860.0732000925723,924.0862186781674,317.570487265008,False,2018-06-01T11:31:33.806317-07:00,2018-06-01T11:35:44.716521-07:00,250.91020345687866

median score,-418.4125003432705
avg score,-475.0724610200143
std,166.3561913588329
high score,-313.62307369967664
low score,-749.8417696938398
env,Deepdrive-v0
args,"--baseline, --urgency=cruising"
git commit,@e266c92
experiment name,n/a
os,linux
gpus,GeForce GTX 980
