episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,6009.37289212761,6681.3160000000335,562.7685587261774,109.17454914623481,False,2018-06-07T15:24:59.259123-07:00,2018-06-07T15:31:11.365177-07:00,372.1060538291931
2,6215.134702973139,6830.992000000011,509.2623994121182,106.59489761475768,False,2018-06-07T15:31:11.470655-07:00,2018-06-07T15:37:20.614447-07:00,369.1437919139862
3,6211.448146966294,6741.8560000000225,410.748742285709,119.659110748013,False,2018-06-07T15:37:20.709523-07:00,2018-06-07T15:43:32.116946-07:00,371.407422542572
4,6191.646913291024,6763.060000000017,465.89002607759426,105.52306063140598,False,2018-06-07T15:43:32.212580-07:00,2018-06-07T15:49:42.093668-07:00,369.8810875415802

median score,6201.547530128659
avg score,6156.900663839517
std,85.64224498824926
high score,6215.134702973139
low score,6009.37289212761
env,Deepdrive-v0
args,"--net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --net-type=MobileNetV2, --sync"
git commit,@9f02cce
git diff,2018-06-07__03-24-47PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
