episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,4058.8154940030654,4792.153263319112,613.5652273681548,119.77254194790275,False,2018-06-07T16:15:00.526106-07:00,2018-06-07T16:19:18.386337-07:00,251.52190923690796
2,3831.5668786516835,4804.388011988368,824.6108451577002,148.21028817899239,False,2018-06-07T16:19:18.568584-07:00,2018-06-07T16:23:37.484227-07:00,254.8548345565796
3,3910.6902705807024,4778.226818929024,732.9346190514916,134.60192929684465,False,2018-06-07T16:23:37.574535-07:00,2018-06-07T16:27:58.660342-07:00,256.52493119239807

median score,3910.6902705807024
avg score,3933.690881078484
std,94.18865592427808
high score,4058.8154940030654
low score,3831.5668786516835
env,Deepdrive-v0
args,"--net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --net-type=MobileNetV2"
git commit,@9f02cce
git diff,2018-06-07__04-14-49PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
