episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-3098.434470541153,9.839359833997593,2906.07675813721,202.19707223794202,True,2018-06-08T12:09:57.477385-07:00,2018-06-08T12:13:37.485464-07:00,218.85092425346375
2,-3629.174418211294,100.74271486431226,3690.3048354510142,39.61229762459209,True,2018-06-08T12:13:37.573441-07:00,2018-06-08T12:13:53.543188-07:00,15.675908088684082
3,-5222.816174325822,100.40859885191712,5305.836346535477,17.388426642263227,True,2018-06-08T12:13:53.628297-07:00,2018-06-08T12:14:06.170371-07:00,12.522971153259277

median score,-3629.174418211294
avg score,-3983.47502102609
std,902.7351378671226
high score,-3098.434470541153
low score,-5222.816174325822
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466"
git commit,@240b923
git diff,2018-06-08__12-09-33PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
