episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-7097.912,102.08800000000002,7200.0,0.0,True,2018-06-10T19:00:27.066823-07:00,2018-06-10T19:00:43.694716-07:00,8.5625
2,-17013.419417893016,406.9360000000008,17420.355417893017,0.0,True,2018-06-10T19:00:43.810108-07:00,2018-06-10T19:01:38.273167-07:00,29.875
3,-6899.868,100.132,7000.0,0.0,True,2018-06-10T19:01:38.440406-07:00,2018-06-10T19:01:52.931553-07:00,8.375
4,-7537.744,62.256,7600.0,0.0,True,2018-06-10T19:01:53.016618-07:00,2018-06-10T19:02:08.609078-07:00,8.75
5,-7899.6759999999995,100.324,8000.0,0.0,True,2018-06-10T19:02:08.791534-07:00,2018-06-10T19:02:24.827500-07:00,9.375
6,-6737.636,62.36399999999999,6800.0,0.0,True,2018-06-10T19:02:24.918101-07:00,2018-06-10T19:02:39.067391-07:00,8.125
7,-7338.771223163033,101.65599999999999,7440.427223163033,0.0,True,2018-06-10T19:02:39.152414-07:00,2018-06-10T19:02:54.612096-07:00,8.75
8,-8695.73246998553,101.188,8796.92046998553,0.0,True,2018-06-10T19:02:54.695511-07:00,2018-06-10T19:03:11.793068-07:00,9.8125
9,-6421.16,78.84,6500.0,0.0,True,2018-06-10T19:03:11.887725-07:00,2018-06-10T19:03:26.240753-07:00,7.75
10,-6649.719999999999,50.280000000000015,6700.0,0.0,True,2018-06-10T19:03:26.366103-07:00,2018-06-10T19:03:41.322096-07:00,7.875

median score,-7218.341611581516
avg score,-8229.163911104159
std,2996.584541951233
high score,-6421.16
low score,-17013.419417893016
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync, --driving-style, steer_only"
git commit,@8af2955
git diff,2018-06-10__07-00-08PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
