episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,22.11600000000001,22.11600000000001,0.0,0.0,True,2018-06-10T19:13:09.317082-07:00,2018-06-10T19:13:33.268926-07:00,12.75
2,370.53199999999964,370.53199999999964,0.0,0.0,True,2018-06-10T19:13:33.353956-07:00,2018-06-10T19:13:58.982696-07:00,14.5
3,207.60800000000012,207.60800000000012,0.0,0.0,True,2018-06-10T19:13:59.135152-07:00,2018-06-10T19:14:13.376531-07:00,8.0
4,15.048000000000002,15.048000000000002,0.0,0.0,True,2018-06-10T19:14:13.461650-07:00,2018-06-10T19:14:30.178263-07:00,9.625
5,39.94800000000001,39.94800000000001,0.0,0.0,True,2018-06-10T19:14:30.303633-07:00,2018-06-10T19:14:48.173225-07:00,10.1875
6,20.184000000000005,20.184000000000005,0.0,0.0,True,2018-06-10T19:14:48.354169-07:00,2018-06-10T19:15:03.994824-07:00,8.9375
7,211.24399999999997,211.24399999999997,0.0,0.0,True,2018-06-10T19:15:04.068763-07:00,2018-06-10T19:15:19.734626-07:00,9.1875
8,41.844000000000015,41.844000000000015,0.0,0.0,True,2018-06-10T19:15:19.894421-07:00,2018-06-10T19:15:37.144015-07:00,10.0
9,318.24000000000007,318.24000000000007,0.0,0.0,True,2018-06-10T19:15:37.329263-07:00,2018-06-10T19:16:05.757994-07:00,15.75
10,287.52399999999994,287.52399999999994,0.0,0.0,True,2018-06-10T19:16:05.927061-07:00,2018-06-10T19:16:35.914808-07:00,17.0625

median score,124.72600000000007
avg score,153.42879999999997
std,133.42847160992284
high score,370.53199999999964
low score,15.048000000000002
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync, --driving-style, steer_only"
git commit,@8af2955
git diff,2018-06-10__07-12-51PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
