episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,8.855999999999998,8.855999999999998,0.0,0.0,True,2018-06-11T17:22:34.329175-07:00,2018-06-11T17:22:44.494993-07:00,4.375
2,609.7280000000007,609.7280000000007,0.0,0.0,True,2018-06-11T17:22:44.619859-07:00,2018-06-11T17:23:33.383162-07:00,24.5
3,137.17600000000002,137.17600000000002,0.0,0.0,True,2018-06-11T17:23:33.478283-07:00,2018-06-11T17:23:43.531398-07:00,5.0
4,29.59200000000001,29.59200000000001,0.0,0.0,True,2018-06-11T17:23:43.726591-07:00,2018-06-11T17:23:54.354194-07:00,5.3125
5,32.772000000000006,32.772000000000006,0.0,0.0,True,2018-06-11T17:23:54.570065-07:00,2018-06-11T17:24:05.810504-07:00,5.4375
6,130.72800000000004,130.72800000000004,0.0,0.0,True,2018-06-11T17:24:05.934890-07:00,2018-06-11T17:24:26.397836-07:00,10.5
7,112.86399999999995,112.86399999999995,0.0,0.0,True,2018-06-11T17:24:26.579783-07:00,2018-06-11T17:24:34.829735-07:00,4.0625
8,33.40800000000001,33.40800000000001,0.0,0.0,True,2018-06-11T17:24:34.944795-07:00,2018-06-11T17:24:47.114042-07:00,5.875
9,396.9600000000037,396.9600000000037,0.0,0.0,True,2018-06-11T17:24:47.215858-07:00,2018-06-11T17:27:47.505896-07:00,84.4375
10,152.17599999999993,152.17599999999993,0.0,0.0,True,2018-06-11T17:27:47.621167-07:00,2018-06-11T17:28:01.381620-07:00,6.375
11,115.34799999999994,115.34799999999994,0.0,0.0,True,2018-06-11T17:28:01.532284-07:00,2018-06-11T17:28:11.251875-07:00,4.5
12,11.411999999999997,11.411999999999997,0.0,0.0,True,2018-06-11T17:28:11.366422-07:00,2018-06-11T17:28:22.183122-07:00,4.75
13,14.424000000000001,14.424000000000001,0.0,0.0,True,2018-06-11T17:28:22.328339-07:00,2018-06-11T17:28:33.769165-07:00,4.6875
14,758.4839999999998,758.4839999999998,0.0,0.0,True,2018-06-11T17:28:33.975014-07:00,2018-06-11T17:29:45.056662-07:00,36.0625
15,118.08399999999996,118.08399999999996,0.0,0.0,True,2018-06-11T17:29:45.151676-07:00,2018-06-11T17:29:55.193329-07:00,4.6875
16,351.2520000000002,351.2520000000002,0.0,0.0,True,2018-06-11T17:29:55.288402-07:00,2018-06-11T17:30:36.785165-07:00,20.25
17,152.06799999999998,152.06799999999998,0.0,0.0,True,2018-06-11T17:30:36.920462-07:00,2018-06-11T17:30:50.668400-07:00,6.1875
18,16.968000000000004,16.968000000000004,0.0,0.0,True,2018-06-11T17:30:50.772962-07:00,2018-06-11T17:31:00.663739-07:00,4.5625
19,23.112000000000016,23.112000000000016,0.0,0.0,True,2018-06-11T17:31:00.768844-07:00,2018-06-11T17:31:12.783198-07:00,5.625
20,11.32799999999999,11.32799999999999,0.0,0.0,True,2018-06-11T17:31:12.898355-07:00,2018-06-11T17:31:23.866746-07:00,4.8125
21,4.212000000000001,4.212000000000001,0.0,0.0,True,2018-06-11T17:31:24.021861-07:00,2018-06-11T17:31:33.291268-07:00,4.1875
22,41.19999999999995,41.19999999999995,0.0,0.0,True,2018-06-11T17:31:33.474543-07:00,2018-06-11T17:31:43.666919-07:00,4.75
23,27.828000000000017,27.828000000000017,0.0,0.0,True,2018-06-11T17:31:43.802226-07:00,2018-06-11T17:31:57.105920-07:00,6.1875
24,23.340000000000014,23.340000000000014,0.0,0.0,True,2018-06-11T17:31:57.221098-07:00,2018-06-11T17:32:09.689382-07:00,5.5
25,18.588,18.588,0.0,0.0,True,2018-06-11T17:32:09.813485-07:00,2018-06-11T17:32:21.073519-07:00,5.0625
26,8.255999999999997,8.255999999999997,0.0,0.0,True,2018-06-11T17:32:21.178827-07:00,2018-06-11T17:32:30.084329-07:00,4.1875
27,19.596000000000007,19.596000000000007,0.0,0.0,True,2018-06-11T17:32:30.199099-07:00,2018-06-11T17:32:41.340256-07:00,5.25
28,32.616000000000014,32.616000000000014,0.0,0.0,True,2018-06-11T17:32:41.444849-07:00,2018-06-11T17:32:53.447130-07:00,5.3125
29,260.784,260.784,0.0,0.0,True,2018-06-11T17:32:53.537079-07:00,2018-06-11T17:33:22.999578-07:00,14.4375
30,56.71599999999998,56.71599999999998,0.0,0.0,True,2018-06-11T17:33:23.212997-07:00,2018-06-11T17:33:35.630582-07:00,5.8125

median score,33.09
avg score,123.66253333333347
std,179.99805774502764
high score,758.4839999999998
low score,4.212000000000001
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync, --driving-style, steer_only"
git commit,@0eefefa
git diff,2018-06-11__05-22-20PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
