episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,44.41200000000001,44.41200000000001,0.0,0.0,True,2018-06-11T17:41:34.844204-07:00,2018-06-11T17:41:53.615680-07:00,8.25
2,108.37200000000003,108.37200000000003,0.0,0.0,True,2018-06-11T17:41:53.730947-07:00,2018-06-11T17:42:12.209152-07:00,9.4375
3,199.88,199.88,0.0,0.0,True,2018-06-11T17:42:12.413479-07:00,2018-06-11T17:42:21.358243-07:00,4.6875
4,4.248000000000001,4.248000000000001,0.0,0.0,True,2018-06-11T17:42:21.442525-07:00,2018-06-11T17:42:30.164629-07:00,4.25
5,4.1400000000000015,4.1400000000000015,0.0,0.0,True,2018-06-11T17:42:35.816570-07:00,2018-06-11T17:42:45.527786-07:00,5.0
6,2.3520000000000003,2.3520000000000003,0.0,0.0,True,2018-06-11T17:43:02.229422-07:00,2018-06-11T17:43:10.781194-07:00,4.3125
7,25.320000000000014,25.320000000000014,0.0,0.0,True,2018-06-11T17:43:10.896385-07:00,2018-06-11T17:43:18.738450-07:00,3.9375

median score,25.320000000000014
avg score,55.532
std,68.41483628570634
high score,199.88
low score,2.3520000000000003
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync, --driving-style, steer_only"
git commit,@0eefefa
git diff,2018-06-11__05-41-20PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
