episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,8.807999999999998,13.52399999999999,0.0,0.0,True,2018-06-11T18:36:11.148702-07:00,2018-06-11T18:36:59.104942-07:00,4.8125
2,152.16000000000003,153.57600000000002,0.0,0.0,True,2018-06-11T18:36:59.550230-07:00,2018-06-11T18:38:47.397506-07:00,8.9375
3,23.82000000000001,222.76399999999992,0.0,0.0,True,2018-06-11T18:38:53.104091-07:00,2018-06-11T18:39:02.906874-07:00,5.5

median score,23.82000000000001
avg score,61.59600000000001
std,64.3310117439482
high score,152.16000000000003
low score,8.807999999999998
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync, --driving-style, steer_only"
git commit,@0eefefa
git diff,2018-06-11__06-35-41PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
