episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-9.687387877551409,0.9480000000000003,3.5139097228596636,7.976901959701122,True,2018-06-12T15:35:06.131881-07:00,2018-06-12T15:36:32.949242-07:00,4.1875
2,-0.9335838684361031,12.971999999999994,0.144483388289437,0.9815192176992376,True,2018-06-12T15:36:33.043282-07:00,2018-06-12T15:36:36.302716-07:00,1.75
3,-0.8590684907022689,1.524,0.0,1.4390684907022688,True,2018-06-12T15:36:36.395386-07:00,2018-06-12T15:36:39.491673-07:00,1.75
4,-29.294856480429072,2.6040000000000014,19.180618955493973,12.718237524935098,True,2018-06-12T15:36:39.586518-07:00,2018-06-12T15:36:59.614133-07:00,10.8125

median score,-5.310485872993755
avg score,-10.193724179279712
std,11.59736637169471
high score,-0.8590684907022689
low score,-29.294856480429072
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync"
git commit,@698d9d8
git diff,2018-06-12__03-34-35PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
