episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,0.06081634499132117,0.24000000000000002,0.0,0.1791836550086789,True,2018-06-12T15:57:09.282096-07:00,2018-06-12T15:57:13.952043-07:00,1.8125
2,0.5282175558474868,0.7479999999999999,0.0,0.2197824441525132,True,2018-06-12T15:57:14.036412-07:00,2018-06-12T15:57:18.682339-07:00,1.875
3,0.08831876316949461,0.108,0.0,0.019681236830505388,True,2018-06-12T15:57:22.091979-07:00,2018-06-12T15:57:22.385254-07:00,0.25
4,0.24519261336560366,0.4320000000000001,0.0,0.18680738663439633,True,2018-06-12T15:57:22.565256-07:00,2018-06-12T15:57:25.826551-07:00,1.8125
5,-24.143301917487687,5.160000000000003,28.040434248391218,1.2628676690964626,True,2018-06-12T15:57:26.018391-07:00,2018-06-12T15:57:46.512722-07:00,10.625

median score,0.08831876316949461
avg score,-4.644151328022756
std,9.750989198299704
high score,0.5282175558474868
low score,-24.143301917487687
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync"
git commit,@698d9d8
git diff,2018-06-12__03-56-55PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
