episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-0.10648051352296618,0.84,0.1411245961052814,0.8053559174176848,True,2018-06-12T15:58:46.756090-07:00,2018-06-12T15:58:56.221809-07:00,4.4375
2,-0.08634875767286801,0.04800000000000001,0.0,0.13434875767286797,True,2018-06-12T15:58:56.316982-07:00,2018-06-12T15:58:59.419313-07:00,1.6875
3,-2.9965301930769837,3.808000000000002,4.928587964870174,1.8759422282068123,True,2018-06-12T15:58:59.608827-07:00,2018-06-12T15:59:26.786701-07:00,14.5
4,-0.23687187008600083,-0.036000000000000004,0.11655552582619015,0.08431634425981067,True,2018-06-12T15:59:26.879401-07:00,2018-06-12T15:59:30.096060-07:00,1.6875
5,0.14779836580786493,0.216,0.0,0.06820163419213505,True,2018-06-12T15:59:35.754583-07:00,2018-06-12T15:59:36.304483-07:00,0.375
6,-0.2750343606293031,0.312,0.0,0.5870343606293033,True,2018-06-12T15:59:36.482897-07:00,2018-06-12T15:59:43.892098-07:00,3.8125
7,-5.276104368544885,2.8920000000000017,6.294229092607654,1.8738752759372304,True,2018-06-12T15:59:44.082872-07:00,2018-06-12T16:00:10.754547-07:00,14.5625

median score,-0.23687187008600083
avg score,-1.2613673853893062
std,1.9217375874952882
high score,0.14779836580786493
low score,-5.276104368544885
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync"
git commit,@698d9d8
git diff,2018-06-12__03-58-28PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
