episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,start,end,lap time
1,-69.96632364772421,0.24000000000000007,0.0,0.20632364772420417,True,2018-06-12T16:42:08.789088-07:00,2018-06-12T16:42:14.570982-07:00,1.75
2,-69.96632364772421,0.24000000000000007,0.0,0.20632364772420417,True,2018-06-12T16:42:08.789088-07:00,2018-06-12T16:42:14.570982-07:00,1.75
3,-69.54631458071769,0.7479999999999999,0.0,0.2943145807176899,True,2018-06-12T16:42:14.628720-07:00,2018-06-12T16:42:17.863689-07:00,1.6875
4,-69.54631458071769,0.7479999999999999,0.0,0.2943145807176899,True,2018-06-12T16:42:14.628720-07:00,2018-06-12T16:42:17.863689-07:00,1.6875
5,-70.20035392519621,0.04799999999999999,0.0,0.24835392519620703,False,2018-06-12T16:42:17.923198-07:00,2018-06-12T16:42:21.471590-07:00,1.875
6,-70.0,0.0,0.0,0.0,True,2018-06-12T16:42:21.597304-07:00,2018-06-12T16:42:21.750015-07:00,0.0625
7,-70.0,0.0,0.0,0.0,True,2018-06-12T16:42:21.597304-07:00,2018-06-12T16:42:21.750015-07:00,0.0625

median score,-69.96632364772421
avg score,-69.88937576886858
std,0.22941128521610268
high score,-69.54631458071769
low score,-70.20035392519621
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync"
git commit,@698d9d8
git diff,2018-06-12__04-41-54PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
