episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-10.156,-0.15600000000000006,0.0,0.0,True,False,2018-06-16T18:24:33.662948-07:00,2018-06-16T18:24:39.647327-07:00,1.5625
2,-10.624,-0.6240000000000001,0.0,0.0,True,False,2018-06-16T18:24:42.240999-07:00,2018-06-16T18:24:46.324028-07:00,1.8125
3,-10.144,-0.14400000000000002,0.0,0.0,True,False,2018-06-16T18:24:46.527930-07:00,2018-06-16T18:24:49.970126-07:00,1.8125
4,-10.180000000000001,-0.18000000000000002,0.0,0.0,True,False,2018-06-16T18:24:50.074141-07:00,2018-06-16T18:24:53.800186-07:00,1.625
5,-8.379999999999999,1.6200000000000003,0.0,0.0,True,False,2018-06-16T18:24:53.922423-07:00,2018-06-16T18:25:13.801845-07:00,10.125
6,-10.0,-6.938893903907228e-18,0.0,0.0,True,False,2018-06-16T18:25:13.980673-07:00,2018-06-16T18:25:18.931053-07:00,2.5625
7,-10.036,-0.036000000000000004,0.0,0.0,True,False,2018-06-16T18:25:19.127764-07:00,2018-06-16T18:25:22.329098-07:00,1.625
8,-10.816,-0.8160000000000001,0.0,0.0,True,False,2018-06-16T18:25:22.472224-07:00,2018-06-16T18:25:28.067764-07:00,2.875
9,-10.048,-0.048000000000000057,0.0,0.0,True,False,2018-06-16T18:25:28.275342-07:00,2018-06-16T18:25:35.819255-07:00,3.5
10,-8.499999999999998,1.5000000000000004,0.0,0.0,True,False,2018-06-16T18:25:35.973109-07:00,2018-06-16T18:25:54.574806-07:00,8.875
11,-10.132,-0.132,0.0,0.0,True,False,2018-06-16T18:25:54.708846-07:00,2018-06-16T18:25:58.963782-07:00,1.8125
12,-9.976,0.024000000000000004,0.0,0.0,True,False,2018-06-16T18:25:59.116686-07:00,2018-06-16T18:26:02.449458-07:00,1.5625
13,-10.576,-0.5760000000000001,0.0,0.0,True,False,2018-06-16T18:26:02.643677-07:00,2018-06-16T18:26:07.524513-07:00,2.1875
14,-8.475999999999999,1.5240000000000002,0.0,0.0,True,False,2018-06-16T18:26:07.669356-07:00,2018-06-16T18:26:17.980310-07:00,4.4375
15,-10.0,0.0,0.0,0.0,False,True,2018-06-16T18:26:18.094869-07:00,2018-06-16T18:26:20.468235-07:00,1.0625
16,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:26:20.653767-07:00,2018-06-16T18:26:21.769430-07:00,0.5
17,-10.264,-0.264,0.0,0.0,True,False,2018-06-16T18:26:21.923190-07:00,2018-06-16T18:26:24.792006-07:00,1.375
18,-10.6,-0.6000000000000001,0.0,0.0,True,True,2018-06-16T18:26:24.915383-07:00,2018-06-16T18:26:28.730515-07:00,1.9375
19,-10.143999999999998,-0.14400000000000002,0.0,0.0,True,False,2018-06-16T18:26:28.824283-07:00,2018-06-16T18:26:31.928202-07:00,1.375
20,-10.408,-0.4079999999999999,0.0,0.0,True,False,2018-06-16T18:26:32.048471-07:00,2018-06-16T18:26:35.460439-07:00,1.6875
21,-7.443999999999999,2.5560000000000014,0.0,0.0,True,False,2018-06-16T18:26:35.553389-07:00,2018-06-16T18:26:49.915147-07:00,6.8125
22,-11.392,-1.3920000000000001,0.0,0.0,True,False,2018-06-16T18:26:50.052678-07:00,2018-06-16T18:26:53.314923-07:00,1.4375
23,-9.376000000000001,0.624,0.0,0.0,True,False,2018-06-16T18:26:53.457880-07:00,2018-06-16T18:27:01.606609-07:00,3.4375
24,-5.128,4.872,0.0,0.0,False,True,2018-06-16T18:27:01.739530-07:00,2018-06-16T18:27:13.115735-07:00,5.875
25,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:27:13.230507-07:00,2018-06-16T18:27:13.976666-07:00,0.4375
26,-8.5,1.5000000000000004,0.0,0.0,True,False,2018-06-16T18:27:14.157509-07:00,2018-06-16T18:27:32.399650-07:00,9.25
27,-10.0,0.0,0.0,0.0,True,False,2018-06-16T18:27:32.614134-07:00,2018-06-16T18:27:35.663501-07:00,1.375
28,-6.147999999999999,3.852000000000001,0.0,0.0,True,False,2018-06-16T18:27:35.797963-07:00,2018-06-16T18:27:48.637291-07:00,6.5
29,-9.94,0.060000000000000095,0.0,0.0,False,True,2018-06-16T18:27:48.814103-07:00,2018-06-16T18:27:59.518488-07:00,5.3125
