episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-10.335999999999999,-0.3360000000000001,0.0,0.0,True,False,2018-06-17T10:48:12.226162-07:00,2018-06-17T10:50:44.447090-07:00,1.875
2,-11.224,-1.2240000000000002,0.0,0.0,False,True,2018-06-17T10:50:44.541932-07:00,2018-06-17T10:50:47.008375-07:00,1.4375
3,-10.012,-0.012000000000000002,0.0,0.0,True,False,2018-06-17T10:50:47.089647-07:00,2018-06-17T10:50:47.971569-07:00,0.5625
4,-9.7,0.30000000000000004,0.0,0.0,True,False,2018-06-17T10:50:48.056058-07:00,2018-06-17T10:50:58.443914-07:00,4.0
5,-10.096,-0.09600000000000002,0.0,0.0,True,False,2018-06-17T10:50:58.600283-07:00,2018-06-17T10:51:03.065602-07:00,2.9375
6,-10.624,-0.6240000000000001,0.0,0.0,True,False,2018-06-17T10:51:03.140259-07:00,2018-06-17T10:51:06.377733-07:00,1.9375
7,-1.6400000000000095,8.35999999999999,0.0,0.0,True,False,2018-06-17T10:51:06.472457-07:00,2018-06-17T10:51:24.031547-07:00,9.875
8,-8.548000000000002,1.452,0.0,0.0,True,False,2018-06-17T10:51:24.116454-07:00,2018-06-17T10:51:30.747299-07:00,3.75
9,-12.064,-2.064,0.0,0.0,True,False,2018-06-17T10:51:30.842046-07:00,2018-06-17T10:51:34.643140-07:00,2.125
10,-12.064,-2.064,0.0,0.0,False,True,2018-06-17T10:51:34.737674-07:00,2018-06-17T10:51:37.513536-07:00,1.75
11,-10.012,-0.012000000000000002,0.0,0.0,True,False,2018-06-17T10:51:37.707270-07:00,2018-06-17T10:51:37.985344-07:00,0.25
12,-10.312,-0.31200000000000017,0.0,0.0,False,True,2018-06-17T10:51:38.140214-07:00,2018-06-17T10:51:41.115297-07:00,1.625
13,-10.0,0.0,0.0,0.0,True,False,2018-06-17T10:51:41.220431-07:00,2018-06-17T10:51:41.789828-07:00,0.3125
14,-9.22,0.7800000000000002,0.0,0.0,True,False,2018-06-17T10:51:41.904533-07:00,2018-06-17T10:51:56.285681-07:00,7.0625
15,-9.219999999999999,0.78,0.0,0.0,True,False,2018-06-17T10:51:56.379471-07:00,2018-06-17T10:52:02.032872-07:00,3.25
16,-11.896,-1.8960000000000001,0.0,0.0,False,True,2018-06-17T10:52:02.200165-07:00,2018-06-17T10:52:04.501519-07:00,1.3125
17,-10.0,0.0,0.0,0.0,True,False,2018-06-17T10:52:04.596202-07:00,2018-06-17T10:52:05.333750-07:00,0.5
18,-10.48,-0.4800000000000001,0.0,0.0,True,False,2018-06-17T10:52:05.522329-07:00,2018-06-17T10:52:09.021655-07:00,1.9375
19,-1.0000046874427788,8.999995312557221,0.0,0.0,True,False,2018-06-17T10:52:09.106122-07:00,2018-06-17T10:54:37.643097-07:00,8.5625
20,-12.532,-2.532,0.0,0.0,True,False,2018-06-17T10:54:37.747920-07:00,2018-06-17T10:54:41.669557-07:00,2.1875
21,-14.684000000000001,-4.684,0.0,0.0,False,True,2018-06-17T10:54:41.754237-07:00,2018-06-17T10:54:44.941099-07:00,1.8125
22,-10.0,0,0.0,0.0,True,False,2018-06-17T10:54:45.045869-07:00,2018-06-17T10:54:45.301218-07:00,0.1875
23,-10.36,-0.36000000000000015,0.0,0.0,True,False,2018-06-17T10:54:45.468726-07:00,2018-06-17T10:54:52.275532-07:00,4.3125
24,-7.9239999999999995,2.0760000000000005,0.0,0.0,True,False,2018-06-17T10:54:52.344658-07:00,2018-06-17T10:55:00.409005-07:00,4.8125
25,10.544000000000004,20.544000000000004,0.0,0.0,True,False,2018-06-17T10:55:00.508702-07:00,2018-06-17T10:55:25.451413-07:00,15.0625
26,-11.028,-1.028,0.0,0.0,False,True,2018-06-17T10:55:25.616061-07:00,2018-06-17T10:55:28.681978-07:00,1.75
27,-9.988,0.012000000000000002,0.0,0.0,True,False,2018-06-17T10:55:28.796920-07:00,2018-06-17T10:55:29.276818-07:00,0.375
28,-14.788,-4.788,0.0,0.0,True,False,2018-06-17T10:55:29.431333-07:00,2018-06-17T10:55:32.391852-07:00,1.875
29,-2.4879999999999995,7.512000000000001,0.0,0.0,False,True,2018-06-17T10:55:32.562085-07:00,2018-06-17T10:58:14.014303-07:00,10.9375
30,-10.996,-0.9960000000000002,0.0,0.0,True,False,2018-06-17T10:58:14.182663-07:00,2018-06-17T10:58:15.688450-07:00,0.9375
31,-11.524000000000001,-1.5240000000000002,0.0,0.0,False,True,2018-06-17T10:58:15.783111-07:00,2018-06-17T10:58:19.593459-07:00,1.9375
32,-10.0,0,0.0,0.0,True,False,2018-06-17T10:58:19.698325-07:00,2018-06-17T10:58:19.875284-07:00,0.125
33,-13.696000000000002,-3.6959999999999997,0.0,0.0,False,True,2018-06-17T10:58:19.980231-07:00,2018-06-17T10:58:23.025475-07:00,1.8125
34,-10.0,0.0,0.0,0.0,True,False,2018-06-17T10:58:23.120406-07:00,2018-06-17T10:58:23.743644-07:00,0.4375
35,-12.904,-2.9040000000000004,0.0,0.0,False,True,2018-06-17T10:58:23.905748-07:00,2018-06-17T10:58:30.560759-07:00,4.125
36,-11.0,-1,0.0,0.0,True,False,2018-06-17T10:58:30.730985-07:00,2018-06-17T10:58:30.808008-07:00,0.0625
