episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-337.6923865489243,129.25405080966212,456.9464373585865,0.0,True,False,2018-06-18T13:05:11.702760-07:00,2018-06-18T13:05:29.503876-07:00,17.188304662704468
2,-22.98690685917763,303.1172241579126,316.10413101709054,0.0,True,False,2018-06-18T13:05:29.629895-07:00,2018-06-18T13:06:05.004640-07:00,34.587921142578125
3,-223.23719758737323,148.1254898771465,361.36268746451987,0.0,True,False,2018-06-18T13:06:05.094675-07:00,2018-06-18T13:06:21.577874-07:00,14.8488130569458
4,-17.500910562760517,-0.5918512526711882,6.909059310089326,0.0,True,False,2018-06-18T13:06:22.054999-07:00,2018-06-18T13:06:25.176801-07:00,2.0927212238311768

median score,-123.11205222327543
avg score,-150.3543503895589
std,136.27174262570475
high score,-17.500910562760517
low score,-337.6923865489243
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 16"
git commit,@7c03298
git diff,2018-06-18__01-04-58PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
