episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-85.904917591984,152.76268209031682,228.66759968230082,0.0,True,False,2018-06-18T13:07:45.403064-07:00,2018-06-18T13:08:09.978668-07:00,23.755382537841797
2,-126.00798253034579,300.74111629250797,416.74909882285374,0.0,True,False,2018-06-18T13:08:10.065931-07:00,2018-06-18T13:08:33.677055-07:00,23.25582218170166
3,7.7812928845963825,158.57891258750487,140.79761970290858,0.0,True,False,2018-06-18T13:08:33.763304-07:00,2018-06-18T13:08:49.077754-07:00,14.904989957809448
4,-209.03436344592168,98.75499676682462,297.78936021274626,0.0,True,False,2018-06-18T13:08:49.164714-07:00,2018-06-18T13:09:01.116670-07:00,11.883461475372314
5,13.535303583176537,263.95677706105744,240.42147347788108,0.0,True,False,2018-06-18T13:09:01.207706-07:00,2018-06-18T13:09:31.495135-07:00,29.80361294746399
6,-197.0487584210668,349.2980808897442,536.3468393108109,0.0,False,True,2018-06-18T13:09:31.572125-07:00,2018-06-18T13:09:47.676189-07:00,15.780755996704102
7,-457.4715504689813,195.36208256154393,642.8336330305252,0.0,True,False,2018-06-18T13:09:47.752240-07:00,2018-06-18T13:10:05.204986-07:00,16.885383129119873

median score,-126.00798253034579
avg score,-150.59299657007526
std,149.55049933681482
high score,13.535303583176537
low score,-457.4715504689813
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 16"
git commit,@7c03298
git diff,2018-06-18__01-07-32PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
