episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-288.1529916470752,170.96536965680815,449.11836130388355,0.0,True,False,2018-06-18T13:18:28.457137-07:00,2018-06-18T13:19:09.017601-07:00,27.18804168701172
2,-332.49972414323514,4.957569334347019,327.4572934775821,0.0,True,False,2018-06-18T13:19:09.181079-07:00,2018-06-18T13:19:26.251411-07:00,16.2346932888031
3,-64.5962167181541,0.018042966162211464,54.61425968431631,0.0,True,False,2018-06-18T13:19:26.395258-07:00,2018-06-18T13:19:28.278214-07:00,1.856785535812378
4,-481.34030635851394,103.06265827231495,574.4029646308288,0.0,True,False,2018-06-18T13:19:30.948351-07:00,2018-06-18T13:19:48.001195-07:00,16.620197772979736
5,-287.7559704029228,469.3666798694008,747.1226502723242,0.0,True,False,2018-06-18T13:19:48.159646-07:00,2018-06-18T13:20:44.858790-07:00,55.141210317611694
6,51.722973679203264,302.6892212647049,240.9662475855017,0.0,True,False,2018-06-18T13:20:44.978804-07:00,2018-06-18T13:21:03.877749-07:00,18.598105907440186

median score,-287.95448102499904
avg score,-233.77037259844965
std,176.5581192175979
high score,51.722973679203264
low score,-481.34030635851394
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 16"
git commit,@7c03298
git diff,2018-06-18__01-18-11PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
