episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-279.99877409950034,109.11820361610151,379.1169777156019,0.0,True,False,2018-06-18T13:22:13.292787-07:00,2018-06-18T13:22:49.509452-07:00,27.782115697860718
2,102.98601810353172,178.62744218702034,65.64142408348859,0.0,True,False,2018-06-18T13:22:49.636138-07:00,2018-06-18T13:23:08.610903-07:00,18.640315771102905
3,-144.32742369355887,191.2362254632438,325.5636491568027,0.0,True,False,2018-06-18T13:23:08.729557-07:00,2018-06-18T13:23:20.281590-07:00,11.03906512260437
4,-358.75813111294093,104.05375331029755,452.8118844232384,0.0,True,False,2018-06-18T13:23:20.413656-07:00,2018-06-18T13:23:34.896097-07:00,14.272329330444336

median score,-212.16309889652962
avg score,-170.0245777006171
std,175.29247502575618
high score,102.98601810353172
low score,-358.75813111294093
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 8"
git commit,@7c03298
git diff,2018-06-18__01-21-54PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
