episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,72.55062909830436,731.4162339894257,648.8656048911212,0.0,False,True,2018-06-18T13:37:16.933088-07:00,2018-06-18T13:38:08.306727-07:00,49.87533950805664
2,-473.5656903933573,607.6148943538087,1071.1805847471653,0.0,False,True,2018-06-18T13:38:08.480685-07:00,2018-06-18T13:39:06.341610-07:00,56.7131187915802
3,-241.64790451468207,165.44001091410925,397.08791542879135,0.0,True,False,2018-06-18T13:39:06.469994-07:00,2018-06-18T13:39:17.297049-07:00,10.632820129394531
4,-833.3291385152177,251.60869006737985,1074.9378285825976,0.0,True,False,2018-06-18T13:39:17.507214-07:00,2018-06-18T13:39:55.829925-07:00,37.53157448768616
5,-418.05675692208786,267.5122776913675,675.5690346134555,0.0,True,False,2018-06-18T13:39:55.964918-07:00,2018-06-18T13:40:23.330157-07:00,26.89560580253601
6,144.94038235691403,154.94038235691403,0.0,0.0,True,False,2018-06-18T13:40:23.440014-07:00,2018-06-18T13:40:33.313129-07:00,9.66842246055603
7,-953.5979990939669,382.49688296612726,1326.0948820600938,0.0,True,False,2018-06-18T13:40:33.459949-07:00,2018-06-18T13:40:59.322463-07:00,25.445513010025024

median score,-418.05675692208786
avg score,-386.100925426299
std,386.1846445441492
high score,144.94038235691403
low score,-953.5979990939669
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 8"
git commit,@7c03298
git diff,2018-06-18__01-37-01PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
