episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-15.397439422189349,-5.397439422189349,0.0,0.0,True,False,2018-06-18T13:58:34.709124-07:00,2018-06-18T13:58:38.023427-07:00,3.0126585960388184
2,-8.918214672651157,1.0817853273488427,0.0,0.0,True,False,2018-06-18T13:58:38.207438-07:00,2018-06-18T13:58:41.880927-07:00,3.60219669342041
3,-10.031311143578856,-0.03131114357885596,0.0,0.0,True,False,2018-06-18T13:58:42.053167-07:00,2018-06-18T13:58:43.948015-07:00,1.8693311214447021
4,-10.01411480100399,-0.014114801003989565,0.0,0.0,True,False,2018-06-18T13:58:44.026875-07:00,2018-06-18T13:58:47.971488-07:00,3.9177868366241455
5,-8.629698225478705,1.370301774521294,0.0,0.0,True,False,2018-06-18T13:58:48.047577-07:00,2018-06-18T13:58:56.390738-07:00,8.140875101089478
6,-10.733835472332796,-0.7338354723327952,0.0,0.0,True,False,2018-06-18T13:58:56.478013-07:00,2018-06-18T13:58:59.742776-07:00,3.0900440216064453
7,-11.124302100442659,-1.1243021004426583,0.0,0.0,True,False,2018-06-18T13:58:59.936945-07:00,2018-06-18T13:59:03.630992-07:00,3.634610652923584

median score,-10.031311143578856
avg score,-10.692702262525358
std,2.0916580272667544
high score,-8.629698225478705
low score,-15.397439422189349
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 8"
git commit,@7c03298
git diff,2018-06-18__01-58-22PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
