episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-13.553075119986568,4.518368260240494,8.071443380227063,0.0,True,False,2018-06-18T14:00:24.861385-07:00,2018-06-18T14:00:33.666807-07:00,8.39628267288208
2,14.886428017374726,43.48487779871109,18.598449781336374,0.0,True,False,2018-06-18T14:00:33.768335-07:00,2018-06-18T14:00:51.409722-07:00,17.569650650024414
3,-0.6306558085193075,82.90295252205298,73.53360833057216,0.0,True,False,2018-06-18T14:00:51.542734-07:00,2018-06-18T14:01:24.800092-07:00,32.871798515319824

median score,-0.6306558085193075
avg score,0.23423236295628355
std,11.626474339106833
high score,14.886428017374726
low score,-13.553075119986568
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 8"
git commit,@7c03298
git diff,2018-06-18__02-00-09PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
