episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,-746.9983926172215,368.1686464643808,1105.1670390816025,0.0,True,False,2018-06-18T14:04:25.930072-07:00,2018-06-18T14:05:13.718682-07:00,46.4039523601532
2,-334.46445706187717,344.3937935742538,668.8582506361313,0.0,True,False,2018-06-18T14:05:13.813923-07:00,2018-06-18T14:05:39.888525-07:00,25.81634783744812
3,-50.60229895779892,313.821203641289,364.42350259908767,0.0,False,False,2018-06-18T14:05:39.974231-07:00,2018-06-18T14:06:18.833570-07:00,37.91514277458191
4,340.2655170203783,469.9930828260968,119.72756580571809,0.0,False,True,2018-06-18T14:06:18.907020-07:00,2018-06-18T14:06:54.550666-07:00,35.138559341430664
5,60.24489329990283,205.9265106313465,135.68161733144382,0.0,True,False,2018-06-18T14:06:54.630385-07:00,2018-06-18T14:07:06.358506-07:00,11.66570234298706
6,-18.359645024294757,123.27401590865747,131.6336609329523,0.0,True,False,2018-06-18T14:07:06.441725-07:00,2018-06-18T14:07:21.166563-07:00,14.635380506515503
7,100.72172988373765,246.36618262567544,135.64445274193793,0.0,False,True,2018-06-18T14:07:21.247895-07:00,2018-06-18T14:07:35.933871-07:00,14.332759857177734

median score,-18.359645024294757
avg score,-92.74180763673908
std,325.6023816958712
high score,340.2655170203783
low score,-746.9983926172215
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 8"
git commit,@7c03298
git diff,2018-06-18__02-04-11PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
