episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,441.37751169937155,628.5479999999998,177.17048830062814,0.0,False,True,2018-06-18T12:43:28.733992-07:00,2018-06-18T12:44:03.276654-07:00,19.75
2,-87.62991392003943,194.86400000000006,272.4939139200395,0.0,True,False,2018-06-18T12:44:03.451985-07:00,2018-06-18T12:44:18.831008-07:00,10.25
3,239.01153528122492,404.01199999999994,155.00046471877477,0.0,False,True,2018-06-18T12:44:18.925110-07:00,2018-06-18T12:44:39.715389-07:00,13.6875
4,669.2093967301975,749.910725058593,80.70132832839609,0.0,False,False,2018-06-18T12:44:39.885050-07:00,2018-06-18T12:45:08.080462-07:00,15.9375

median score,340.19452349029825
avg score,315.4921324476886
std,278.08258565194524
high score,669.2093967301975
low score,-87.62991392003943
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --sync"
git commit,@7c03298
git diff,2018-06-18__12-41-35PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
