episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,800.6605779038091,1459.0390110076617,658.3784331038528,0.0,False,False,2018-06-18T12:52:09.897139-07:00,2018-06-18T12:53:41.661811-07:00,91.01372289657593
2,262.1299527192363,354.01460686998024,91.8846541507439,0.0,False,False,2018-06-18T12:53:41.730639-07:00,2018-06-18T12:54:09.778656-07:00,27.64101552963257
3,-362.07605805875045,558.0912370645286,910.167295123279,0.0,True,False,2018-06-18T12:54:09.848919-07:00,2018-06-18T12:54:55.674895-07:00,45.33214211463928
4,157.8001398870513,180.76618392143075,12.966044034379424,0.0,False,True,2018-06-18T12:54:55.743613-07:00,2018-06-18T12:55:07.393320-07:00,11.443567514419556
5,-313.98795373230786,594.343692958018,898.3316466903253,0.0,True,False,2018-06-18T12:55:07.468748-07:00,2018-06-18T12:55:55.129337-07:00,47.36801242828369
6,-41.226074603198484,297.4880428039354,328.71411740713376,0.0,False,True,2018-06-18T12:55:55.203903-07:00,2018-06-18T12:56:11.985743-07:00,16.69447922706604

median score,58.28703264192641
avg score,83.88343068597331
std,392.394120271929
high score,800.6605779038091
low score,-362.07605805875045
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 16"
git commit,@7c03298
git diff,2018-06-18__12-51-58PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
