episode #,score,speed reward,lane deviation penalty,gforce penalty,got stuck,wrong way,start,end,lap time
1,454.9309217944745,695.8275296553417,230.89660786086677,0.0,True,False,2018-06-18T12:57:31.287609-07:00,2018-06-18T12:58:08.435694-07:00,36.48935532569885
2,-151.8420285193183,343.4152225985436,485.25725111786176,0.0,True,False,2018-06-18T12:58:08.551992-07:00,2018-06-18T12:58:28.276502-07:00,19.695003509521484
3,206.59695673545298,392.09253476161234,185.4955780261595,0.0,False,False,2018-06-18T12:58:28.382627-07:00,2018-06-18T12:58:53.664169-07:00,25.05410146713257

median score,206.59695673545298
avg score,169.89528333686974
std,249.0697531895009
high score,454.9309217944745
low score,-151.8420285193183
env,Deepdrive-v0
args,"--agent, bootstrapped_ppo2, --experiment, bootstrap, --train, --net-path=/home/a/mnet2_tf/fast/2018-05-22__03-04-53PM/model.ckpt-45466, --fps, 16"
git commit,@7c03298
git diff,2018-06-18__12-57-19PM.diff
experiment name,n/a
os,linux
gpus,GeForce GTX 980
